Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,log_price
BMW,4200.0,sedan,277,2.0,Petrol,yes,1991,8.34283980427146
Mercedes-Benz,7900.0,van,427,2.9,Diesel,yes,1999,8.974618038455112
Mercedes-Benz,13300.0,sedan,358,5.0,Gas,yes,2003,9.495519314209846
Audi,23000.0,crossover,240,4.2,Petrol,yes,2007,10.043249494911286
Toyota,18300.0,crossover,120,2.0,Petrol,yes,2011,9.814656338829513
Audi,14200.0,vagon,200,2.7,Diesel,yes,2006,9.560997243589352
Renault,10799.0,vagon,193,1.5,Diesel,yes,2012,9.28720881623276
Volkswagen,1400.0,other,212,1.8,Gas,no,1999,7.24422751560335
Renault,11950.0,vagon,177,1.5,Diesel,yes,2011,9.388486557359657
Renault,2500.0,sedan,260,1.79,Petrol,yes,1994,7.824046010856292
Audi,9500.0,vagon,165,2.7,Gas,yes,2003,9.159047077588632
Volkswagen,10500.0,sedan,100,1.8,Petrol,yes,2008,9.259130536145614
Toyota,16000.0,crossover,250,4.7,Gas,yes,2001,9.680344001221918
Renault,8600.0,hatch,84,1.5,Diesel,yes,2012,9.0595174822416
BMW,2990.0,other,203,2.0,Petrol,no,2001,8.003028666384733
Toyota,26500.0,crossover,21,2.0,Petrol,yes,2013,10.184900011974314
Audi,3500.0,vagon,250,2.5,Diesel,no,1998,8.160518247477505
Toyota,38233.0,other,0,2.4,Diesel,yes,2016,10.551454296015532
Volkswagen,7500.0,hatch,132,1.4,Diesel,yes,2006,8.922658299524402
Audi,6800.0,sedan,225,2.4,Gas,yes,1998,8.824677891164198
Mitsubishi,10500.0,crossover,130,2.4,Gas,yes,2006,9.259130536145614
Audi,24900.0,sedan,163,4.2,Diesel,yes,2008,10.1226230824528
Volkswagen,20800.0,crossover,151,3.0,Diesel,yes,2008,9.94270826568941
Audi,6500.0,sedan,330,2.4,Petrol,yes,1999,8.779557455883728
Mercedes-Benz,13566.0,other,171,2.2,Other,no,2011,9.515321941506025
Mitsubishi,8500.0,hatch,65,1.3,Petrol,yes,2010,9.047821442478408
Audi,2900.0,sedan,1,2.3,Gas,yes,1989,7.9724660159745655
BMW,21500.0,other,72,3.0,Petrol,yes,2007,9.975808214115753
Mitsubishi,17900.0,crossover,87,3.8,Gas,yes,2008,9.792555991828847
BMW,28500.0,crossover,160,4.8,Gas,yes,2008,10.257659366256743
Volkswagen,9800.0,van,160,1.9,Diesel,yes,2009,9.190137664658664
Toyota,14500.0,sedan,147,2.4,Gas,yes,2006,9.581903928408666
BMW,6000.0,sedan,300,2.8,Petrol,yes,1996,8.699514748210191
BMW,67500.0,crossover,1,2.5,Diesel,yes,2016,11.119882876860622
Audi,33900.0,other,14,1.8,Petrol,yes,2014,10.431170293368542
Mercedes-Benz,9800.0,van,230,2.15,Diesel,yes,2004,9.190137664658664
Mercedes-Benz,63000.0,crossover,86,5.5,Petrol,yes,2009,11.05089000537367
BMW,7700.0,sedan,326,2.8,Petrol,yes,1998,8.948975607841776
Mercedes-Benz,9600.0,van,30,2.2,Diesel,yes,2006,9.169518377455928
Toyota,12800.0,sedan,181,2.4,Petrol,yes,2008,9.457200449907708
BMW,41000.0,crossover,80,3.0,Petrol,yes,2012,10.621327345686446
BMW,3700.0,sedan,231,2.5,Petrol,yes,1990,8.216088098632316
Mercedes-Benz,29500.0,sedan,134,5.0,Petrol,yes,2008,10.292145542327912
BMW,6500.0,sedan,335,2.8,Petrol,yes,1996,8.779557455883728
Renault,8250.0,van,66,1.5,Diesel,yes,2014,9.017968479328726
Mercedes-Benz,19500.0,crossover,172,3.5,Other,yes,2008,9.878169744551839
Mercedes-Benz,13500.0,sedan,317,5.0,Petrol,yes,2001,9.51044496442652
Mercedes-Benz,9200.0,van,266,2.2,Diesel,yes,2008,9.126958763037132
Volkswagen,5000.0,vagon,265,2.0,Diesel,no,2006,8.517193191416238
BMW,23900.0,crossover,162,4.8,Petrol,yes,2007,10.081633737919603
BMW,36900.0,sedan,81,3.0,Diesel,yes,2010,10.515966830028619
BMW,8900.0,other,253,1.8,Petrol,yes,1995,9.093806555720231
Renault,7800.0,van,200,1.9,Diesel,yes,2002,8.961879012677683
BMW,1650.0,sedan,270,1.8,Petrol,no,1995,7.408530566894626
Mercedes-Benz,50000.0,sedan,240,3.5,Petrol,yes,2006,10.819778284410283
Renault,9700.0,van,245,2.0,Diesel,yes,2008,9.179881164491475
Mercedes-Benz,9999.0,van,127,2.2,Diesel,yes,2005,9.21024036697585
Audi,69999.0,crossover,21,3.0,Petrol,yes,2015,11.156236235215168
Mitsubishi,6500.0,sedan,152,1.6,Petrol,yes,2007,8.779557455883728
Audi,4300.0,sedan,267,1.9,Diesel,no,2003,8.366370301681654
Audi,3000.0,sedan,267,2.5,Diesel,no,1999,8.006367567650246
Mercedes-Benz,8700.0,sedan,240,2.2,Diesel,yes,2000,9.071078304642676
Renault,9000.0,vagon,178,2.0,Petrol,yes,2008,9.104979856318357
Mercedes-Benz,20400.0,sedan,190,1.8,Gas,yes,2011,9.923290179832307
BMW,9000.0,sedan,175,3.0,Petrol,no,2006,9.104979856318357
Mercedes-Benz,13400.0,sedan,105,1.8,Petrol,yes,2006,9.503009985939002
Volkswagen,3700.0,sedan,195,1.9,Diesel,no,2001,8.216088098632316
Volkswagen,9850.0,van,126,2.0,Diesel,yes,2012,9.195226734166134
Audi,3700.0,hatch,420,2.0,Diesel,no,2004,8.216088098632316
Toyota,15700.0,crossover,195,4.0,Gas,yes,2003,9.6614159913364
Mercedes-Benz,24500.0,sedan,180,2.2,Diesel,yes,2012,10.106428396532818
Mitsubishi,7500.0,sedan,195,1.6,Gas,yes,2007,8.922658299524402
Volkswagen,11990.0,van,231,2.5,Diesel,yes,2002,9.39182824802156
Volkswagen,13708.5,hatch,51,1.4,Petrol,yes,2014,9.525771357380366
BMW,8200.0,sedan,287,2.5,Gas,yes,1999,9.011889433252344
Renault,6999.0,van,222,1.5,Diesel,yes,2009,8.85352256068954
Renault,6750.0,vagon,214,1.5,Diesel,yes,2004,8.817297783866575
Audi,18500.0,sedan,245,3.0,Diesel,yes,2006,9.825526011066415
Toyota,14299.0,sedan,83,2.0,Petrol,yes,2009,9.567944883732848
Mercedes-Benz,28500.0,crossover,210,3.2,Diesel,yes,2007,10.257659366256743
Mitsubishi,17000.0,crossover,89,3.8,Petrol,yes,2008,9.740968623038354
Mercedes-Benz,25700.0,crossover,130,4.7,Gas,yes,2008,10.154246270883311
Audi,2650.0,vagon,333,2.5,Diesel,no,2000,7.882314918980268
Mitsubishi,8500.0,sedan,116,1.5,Petrol,yes,2008,9.047821442478408
Mercedes-Benz,4000.0,sedan,405,2.0,Diesel,yes,1992,8.294049640102028
Renault,11000.0,other,131,1.5,Diesel,yes,2011,9.305650551780507
Mercedes-Benz,14500.0,sedan,138,2.0,Petrol,yes,2007,9.581903928408666
BMW,4099.0,sedan,50,2.5,Petrol,yes,1988,8.318498320504338
Volkswagen,31500.0,crossover,1,2.0,Petrol,yes,2014,10.357742824813725
Renault,4500.0,van,207,1.5,Diesel,yes,2003,8.411832675758411
Volkswagen,6700.0,other,207,1.9,Diesel,yes,2004,8.809862805379057
Mitsubishi,20800.0,crossover,31,2.4,Petrol,yes,2011,9.94270826568941
Mercedes-Benz,107999.0,crossover,0,2.98,Diesel,yes,2016,11.58987724680423
BMW,3500.0,sedan,334,2.0,Diesel,no,1999,8.160518247477505
Audi,39000.0,sedan,18,1.8,Other,yes,2015,10.571316925111784
Toyota,13500.0,crossover,150,4.7,Gas,yes,2002,9.51044496442652
Mitsubishi,6150.0,sedan,175,1.6,Petrol,yes,2007,8.724207360800564
BMW,45500.0,crossover,76,4.4,Petrol,yes,2010,10.725467604939041
BMW,4900.0,sedan,295,2.0,Petrol,yes,1994,8.496990484098719
BMW,47000.0,other,5,2.0,Petrol,yes,2014,10.757902880692196
Toyota,19200.0,crossover,190,2.7,Gas,yes,2005,9.862665558015873
Mitsubishi,11100.0,crossover,119,2.4,Gas,yes,2008,9.314700387300425
Mitsubishi,8200.0,sedan,139,1.5,Other,yes,2012,9.011889433252344
Volkswagen,10300.0,sedan,235,2.0,Petrol,yes,2007,9.239899174217728
Renault,11990.0,van,210,1.1,Diesel,yes,2010,9.39182824802156
BMW,46800.0,sedan,33,2.0,Diesel,yes,2014,10.753638481905739
Volkswagen,1500.0,other,260,1.8,Gas,no,1994,7.313220387090301
BMW,6350.0,crossover,156,4.4,Gas,no,2002,8.756210091886738
Mercedes-Benz,8900.0,hatch,155,1.5,Petrol,yes,2005,9.093806555720231
Mercedes-Benz,12700.0,van,160,3.0,Diesel,yes,2007,9.449357272446683
Mitsubishi,8000.0,sedan,207,1.6,Gas,yes,2007,8.987196820661973
Toyota,29500.0,crossover,63,4.0,Petrol,yes,2008,10.292145542327912
Renault,7100.0,van,208,1.5,Diesel,yes,2008,8.867850063029406
Renault,10850.0,crossover,103,2.5,Gas,yes,2010,9.291920358968605
Volkswagen,27000.0,sedan,57,2.0,Diesel,yes,2013,10.203592144986466
Volkswagen,18100.0,other,64,2.0,Petrol,yes,2011,9.803667217253917
BMW,27000.0,sedan,137,5.0,Other,yes,2005,10.203592144986466
BMW,8990.0,other,300,2.2,Petrol,yes,2002,9.103868127465667
Toyota,32900.0,crossover,82,2.7,Petrol,yes,2013,10.401227936753463
BMW,25500.0,other,163,4.8,Petrol,yes,2008,10.146433731146518
Toyota,8900.0,crossover,153,2.0,Petrol,yes,2003,9.093806555720231
Audi,11950.0,sedan,190,3.0,Petrol,yes,2006,9.388486557359657
Mercedes-Benz,22700.0,sedan,125,2.2,Diesel,yes,2010,10.030120203469494
BMW,13000.0,sedan,165,2.2,Gas,yes,2003,9.472704636443673
Audi,25000.0,other,60,2.0,Petrol,yes,2011,10.126631103850338
Toyota,26900.0,crossover,119,4.0,Gas,yes,2008,10.19988156558993
Mercedes-Benz,87777.0,van,0,2.2,Diesel,yes,2016,11.382554786308235
Volkswagen,6000.0,van,200,2.0,Diesel,yes,2008,8.699514748210191
Audi,9800.0,vagon,257,2.5,Diesel,yes,2003,9.190137664658664
Audi,13900.0,other,197,2.0,Diesel,yes,2006,9.539644119118783
Renault,12200.0,van,164,2.5,Diesel,yes,2009,9.409191230721348
Mercedes-Benz,13500.0,crossover,205,2.7,Diesel,yes,2005,9.51044496442652
BMW,18100.0,crossover,200,4.8,Petrol,yes,2005,9.803667217253917
